53,57,15,194
57,53,15,194
31,20,19,220
20,31,19,220
22,19,10,310
19,22,10,310
49,33,17,560
33,49,17,560
38,37,29,924
37,38,29,924
31,25,24,530
25,31,24,530
55,57,30,519
57,55,30,519
58,24,24,228
24,58,24,228
13,30,11,982
30,13,11,982
58,37,16,550
37,58,16,550
4,46,22,408
46,4,22,408
11,20,23,446
20,11,23,446
42,59,19,731
59,42,19,731
52,26,23,382
26,52,23,382
60,33,10,952
33,60,10,952
45,5,30,105
5,45,30,105
44,51,27,945
51,44,27,945
25,56,14,639
56,25,14,639
19,38,26,828
38,19,26,828
4,51,29,683
51,4,29,683
12,3,21,593
3,12,21,593
50,41,17,225
41,50,17,225
50,1,26,400
1,50,26,400
24,36,21,913
36,24,21,913
32,49,19,685
49,32,19,685
13,38,25,788
38,13,25,788
8,6,18,848
6,8,18,848
18,47,25,433
47,18,25,433
1,48,24,578
48,1,24,578
44,15,21,549
15,44,21,549
45,39,16,405
39,45,16,405
47,17,13,914
17,47,13,914
53,2,16,209
2,53,16,209
4,39,17,740
39,4,17,740
22,12,18,164
12,22,18,164
52,42,20,192
42,52,20,192
13,17,18,987
17,13,18,987
37,12,10,216
12,37,10,216
34,14,23,700
14,34,23,700
50,51,21,753
51,50,21,753
58,50,16,860
50,58,16,860
52,18,29,699
18,52,29,699
23,43,27,186
43,23,27,186
21,8,14,203
8,21,14,203
53,28,30,869
28,53,30,869
9,2,17,566
2,9,17,566
49,40,29,204
40,49,29,204
17,59,17,101
59,17,17,101
3,25,11,248
25,3,11,248
45,22,29,266
22,45,29,266
19,46,28,842
46,19,28,842
25,57,29,665
57,25,29,665
18,50,17,512
50,18,17,512
51,16,19,809
16,51,19,809
12,25,28,838
25,12,28,838
11,0,21,465
0,11,21,465
51,38,29,699
38,51,29,699
41,45,24,892
45,41,24,892
29,18,28,264
18,29,28,264
5,3,13,767
3,5,13,767
40,17,25,566
17,40,25,566
4,28,16,135
28,4,16,135
29,22,25,603
22,29,25,603
29,6,25,830
6,29,25,830
31,17,14,335
17,31,14,335
36,42,14,841
42,36,14,841
46,59,21,259
59,46,21,259
51,20,13,801
20,51,13,801
11,16,25,342
16,11,25,342
24,21,27,830
21,24,27,830
44,17,14,447
17,44,14,447
19,36,26,837
36,19,26,837
51,30,13,525
30,51,13,525
12,7,27,943
7,12,27,943
58,54,15,380
54,58,15,380
26,18,21,475
18,26,21,475
15,54,23,801
54,15,23,801
21,26,25,177
26,21,25,177
31,19,15,314
19,31,15,314
49,33,30,644
33,49,30,644
25,56,13,499
56,25,13,499
41,2,23,434
2,41,23,434
4,55,17,444
55,4,17,444
57,4,16,165
4,57,16,165
50,23,24,675
23,50,24,675
1,10,25,515
10,1,25,515
48,58,28,410
58,48,28,410
49,11,21,249
